,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,lyrics
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73,"Oh, Woah, Ooh, ooh We're a thousand miles from comfort, we have traveled land and sea But as long as you are with me, there's no place I'd rather be I would wait forever, exalted in the scene As long as I am with you, my heart continues to beat With every step we take, Kyoto to The Bay Strolling so casually We're different and the same, get you another name Switch up the batteries If you gave me a chance I would take it It's a shot in the dark but I'll make it Know with all of your heart, you can't shake me When I am with you, there's no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be We set out on a mission to find our inner peace Make it everlasting so nothing's incomplete It's easy being with you, sacred simplicity As long as we're together, there's no place I'd rather be With every step we take, Kyoto to The Bay Strolling so casually We're different and the same, get you another name Switch up the batteries If you gave me a chance I would take it It's a shot in the dark but I'll make it Know with all of your heart, you can't shake me When I am with you, there's no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be When I am with you, there's no place I'd rather be, yeah Beeeeeeeeee, hooooooo oh Be [x9] Yeah-e-yeah-e-yeah-e-yeah-e-yeah, yeah, yeah If you gave me a chance I would take it It's a shot in the dark but I'll make it Know with all of your heart, you can't shake me When I am with you, there's no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be N-n-no, no, no, no place I'd rather be When I am with you, there's no place I'd rather be"
296,Hello,Adele,british soul,2015,158,45,48,-6,9,29,295,34,3,73,"Hello, it's me I was wondering if after all these years you'd like to meet To go over everything They say that time's supposed to heal ya But I ain't done much healing Hello, can you hear me? I'm in California dreaming about who we used to be When we were younger and free I've forgotten how it felt Before the world fell at our feet There's such a difference between us And a million miles Hello from the other side I must have called a thousand times To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside At least I can say that I've tried To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore Hello, how are you? It's so typical of me to talk about myself, I'm sorry I hope that you're well Did you ever make it out of that town Where nothing ever happened? It's no secret that the both of us Are running out of time So hello from the other side (other side) I must have called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore (Highs, highs, highs, highs, lows, lows, lows, lows) Anymore Hello from the other side (other side) I must have called a thousand times (thousand times) To tell you I'm sorry for everything that I've done But when I call you never seem to be home Hello from the outside (outside) At least I can say that I've tried (I've tried) To tell you I'm sorry for breaking your heart But it don't matter, it clearly doesn't tear you apart Anymore"
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72,"Dear future husband Here's a few things You need to know if you wanna be My one and only all my life Take me on a date I deserve it, babe And don't forget the flowers every anniversary 'Cause if you treat me right I'll be the perfect wife Buying groceries Buy-buying what you need You got that ""9 to 5"" But, baby, so do I So don't be thinking I'll be home and baking apple pies I never learned to cook But I can write a hook Sing along with me Sing-sing along with me You gotta know how to treat me like a lady Even when I'm acting crazy Tell me everything's alright Dear future husband, Here's a few things You'll need to know if you wanna be My one and only all my life Dear future husband, If you wanna get that special lovin' Tell me I'm beautiful each and every night After every fight Just apologize And maybe then I'll let you try and rock my body right Even if I was wrong You know I'm never wrong Why disagree? Why, why disagree? If you gotta know how to treat me like a lady Even when I'm acting crazy Tell me everything's alright Dear future husband, Here's a few things You need to know if you wanna be My one and only all my life (Hey, baby) Dear future husband, Make time for me Don't leave me lonely And know we'll never see your family more than mine I'll be sleeping on the left side of the bed Open doors for me and you might get some kisses Don't have a dirty mind Just be a classy guy Buy me a ring Buy-buy me a ring, babe You gotta know how to treat me like a lady Even when I'm acting crazy Tell me everything's alright Dear future husband Here's a few things You need to know if you wanna be My one and only all my life Dear future husband, If you wanna get that special loving Tell me I'm beautiful each and every night That's right! Future husband, better love me right"
298,7/11,Beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72,"Shoulders sideways smack it, smack it in the air Legs moving side to side, smack it in the air Legs moving side to side, smack it in the air Shoulders sideways smack it, smack it in the air Smack it, smack it in the air Legs moving side to side, smack it, smack it in the air Smack it, smack it in the air Wave your hand side to side, put it in the air (in the air) Wave your hand side to side, put it in the air (to side to side) Clap, clap, clap like you don't care (to side to side) Smack that clap, clap, clap like you don't care (I know you care) Clap, clap, clap, clap, clap it Foot up, my foot up, hold up now my foot up (spinning) I'm spinning, my foot up, foot up, yeah my foot up (spinning) I'm spinning, my foot up, put my foot up, yeah my hands up My hands up, my hands up flexin', flexin' while my hands up My hands up, my hands up, I stand up with my hands up Then I put up, my hands up, I put up, my hands up I put up, my hands up, I put up, my hands up I put up, my hands up, then I'm spinning with my hands up (spinning) Spinning while my hands up, spinning while my hands up (spinning) Spinning while my hands up, then I'm tipping all my hands up (tipping) Spinning, I'm spinning, I'm spinning while my hands up (spinning) I'm spinning, I'm spinning, I'm spinning while my hands up (drank) Hold that cup like alcohol Hold that cup like alcohol (drank) Hold that cup like alcohol Don't you drop that alcohol (drank) Never drop that alcohol Never drop that alcohol I know ya thinking 'bout alcohol I know ya thinking 'bout that alcohol Man this here like rolling dice Man this here like rolling dice Seven-eleven Seven-eleven Seven twice, man seven twice Man it feel like rolling dice Man this feel like rolling dice Man it feel like rolling dice Seven twice, seven twice (kick it) Girl I'm trying to kick it with you (girl) Girl I'm trying to kick it with you (man) Man I'm trying to kick it with you My feet up, I kick it with you (man) Man I swear I'd kick it with you (girl) Girl I wanna kick it with you (man) Man I know I'll kick it with you Yeah I'll spin around and kick it with you Shoulders sideways smack it, smack it in the air Legs moving side to side, smack it in the air (to side to side) Legs moving side to side, smack it in the air (to side to side) Shoulders moving side to side smack it in the air Smack it in the air, smack it, smack it in the air Smack it in the air, smack it, smack it in the air Wave your hand side to side, put it in the air (in the air) Wave your hand side to side, put it in the air (to side to side) Clap, clap, clap like you don't care (to side to side) Smack that, clap, clap, clap like you don't care (I know you care) You care...I know...you care Wave your hands side to side Wave your hands side to side Wave your hands side to side Wave your hands side to side Oh we BB Freaky deaky Think me see she Pink bikini Rock that kufi Dye dashiki Nefertiti Edges kinky Sweatin' out my blow out Sweatin' out my press This trick about to go off Mad cause I'm so fresh Fresher than you I'm fresher than you Fresher than you oh"
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72,"What the heart wants The heart wants What the heart wants You got me sipping on something I can't compare to nothing I've ever known, I'm hoping That after this fever I'll survive I know I'm acting a bit crazy Strung out, a little bit hazy Hand over heart, I'm praying That I'm gonna make it out alive The bed's getting cold and you're not here The future that we hold is so unclear But I'm not alive until you call And I'll bet the odds against it all Save your advice, 'cause I won't hear You might be right, but I don't care There's a million reasons why I should give you up But the heart wants what it wants The heart wants what it wants You got me scattered in pieces Shining like stars and screaming Lighting me up like Venus But then you disappear and make me wait And every second's like torture Heroin drip, no more so Finding a way to let go Baby, baby, no, I can't escape The bed's getting cold and you're not here The future that we hold is so unclear But I'm not alive until you call And I'll bet the odds against it all Save your advice, 'cause I won't hear You might be right, but I don't care There's a million reasons why I should give you up But the heart wants what it wants The heart wants what it wants The heart wants what it wants The heart wants what it wants This is a modern fairytale No happy endings No wind in our sails But I can't imagine a life without Breathless moments Breaking me down, down, down, down The bed's getting cold and you're not here The future that we hold is so unclear But I'm not alive until you call And I'll bet the odds against it all Save your advice, 'cause I won't hear You might be right, but I don't care There's a million reasons why I should give you up But the heart wants what it wants The heart wants what it wants The heart wants what it wants The heart wants what it wants The heart wants what it wants, baby It wants what it wants, baby It wants what it wants It wants what it wants The heart wants what it wants, baby It wants what it wants, baby"
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,60,-4,33,53,193,24,15,72,"Be my woman, girl, I'll be your man Be my woman, girl, I'll be your man Yes I'll be your woman Yes I'll be your baby Yes I'll be whatever that you tell me when you're ready Yes I'll be your girl, forever your lady You ain't ever gotta worry, I'm down for you, baby Best believe that, when you need that I'll provide that, you will always have it I'll be on deck, keep it in check When you need that, I'mma let you have it Beating my drum like dum di di day I like the dirty rhythm you play I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Banging the drum like dum di di day I know you want it in the worst way I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Be my woman, girl, I'll be your man Be my woman, girl, I'll be your man Yes I do the cooking Yes I do the cleaning Plus I keep the na-na real sweet for your eating Yes you be the boss and yes I be respecting Whatever that you tell me cause it's game you be spitting Best believe that, when you need that I'll provide that, you will always have it I'll be on deck, keep it in check When you need that, I'mma let you have it Beating my drum like dum di di day I like the dirty rhythm you play I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Banging the drum like dum di di day I know you want it in the worst way I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Hey! Be my woman, girl, I'll be your man Be my woman, girl, I'll be your man Whole crew got the juice Your dick came the truth My screams is the proof Them other dudes get the deuce When I speed in the coupe Leavin' this interview It ain't nothing new I been fucking with you None of them bitches ain't taking you Just tell 'em to make a U That's how it be I come first like debut So, baby, when you need that Gimme the word, I'm no good I'll be bad for my baby So I make sure that he's getting his share So I make sure that his baby take care So I make sure I'm on my toes, on my knees Keep him pleased, rub him down Be a lady and a freak Beating my drum like dum di di day I like the dirty rhythm you play I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Banging the drum like dum di di day I know you want it in the worst way I wanna hear you callin' my name Like, hey ma ma, mama, hey ma, mama Be my woman, girl, I'll be your man Be my woman, girl, I'll be your man"
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,63,-7,14,91,218,21,16,72,"Come on, come on Ohh, whow I feel like I've been locked up tight For a century of lonely nights Waiting for someone to release me You're lickin' your lips And blowing kisses my way But that don't mean I'm gonna give it away Baby, baby, baby (Baby baby baby...) Ooohhh, my body's sayin' let's go Ooohhh, but my heart is sayin' no If you wanna be with me Baby there's a price to pay I'm a genie in a bottle You gotta rub me the right way If you wanna be with me I can make your wish come true You gotta make a big impression (Oh yeah) Gotta like what you do (I'm a genie in a bottle baby Gotta rub me the right way honey I'm a genie in a bottle baby Come come, come on and let me out) The music's fading and the lights down low Just one more dance and then we're good to go Waiting for someone Who needs me Hormones racing at the speed of light But that don't mean it's gotta be tonight Baby, baby, baby (Baby baby baby...) Ooohhh, my body's sayin' let's go Ooohhh, but my heart is sayin' no (but my heart is sayin' no) If you wanna be with me Baby there's a price to pay I'm a genie in a bottle (I'm a genie in a bottle) You gotta rub me the right way If you wanna be with me (Ooh) I can make your wish come true (Your wish come true ohh) Just come and set me free baby And I'll be with you (I'm a genie in a bottle baby Gotta rub me the right way honey I'm a genie in a bottle baby Come come, come on and let me out) I'm a genie in a bottle baby Gotta rub me the right way honey (If you wanna be with me) I'm a genie in a bottle baby Come come, come on and let me out Ooohhh, my body's sayin' let's go Ooohhh, but my heart is sayin' no If you wanna be with me Baby there's a price to pay I'm a genie in a bottle (I'm a genie in a bottle) You gotta rub me the right way If you wanna be with me I can make your wish come true You gotta make a big impression Gotta like what you do If you wanna be with me Baby there's a price to pay I'm a genie in a bottle (In a bottle baby) You gotta rub me the right way If you wanna be with me (If you wanna be with me) I can make your wish come true Just come and set me free baby And I'll be with you I'm a genie in a bottle baby Come come, come on and let me out"
302,Company,Justin Bieber,canadian pop,2015,95,80,59,-5,8,43,208,13,6,72,"Can we, we keep, keep each other company? Maybe we can be, be each other's company Oh, company Let's set each other's lonely nights Be each other's paradise Need a picture for my frame Someone to share my reign Tell me what you wanna drink I tell you what I got in mind Oh, I don't know your name But I feel like that's gonna change You ain't gotta be my lover for you to call me ""baby"" Never been around, no pressure. Ain't that serious? Can we, we keep, keep each other company? Maybe we can be, be each other's company Oh, company It ain't about the complications I'm all about the elevation We can keep it goin' up Oh, don't miss out on us Just wanna have a conversation Forget about the obligations Maybe we can stay in touch Oh, that ain't doin' too much You ain't gotta be my lover for me to call you ""baby"" Never been around, no pressure. Ain't that serious? No. Can we, we keep, keep each other company? Maybe we can be, be each other's company Oh, company Can we be, can we be, be each other's company, Be each other's company, Just be each other's company, Be each other's company? Can we, we keep, keep each other company? Maybe we can be, be each other's company Oh, company"
303,Sing,Ed Sheeran,pop,2015,120,67,82,-4,6,94,235,30,5,71,"It's late in the evening Glass on the side I've been sat with you For most of the night Ignoring everybody here We wish they would disappear So maybe we could get down now I don't wanna know If you're getting ahead of the program I want you to be mine, lady To hold your body close Take another step into the no-man's land For the longest time lady I need you darling Come on set the tone If you feel you're falling Won't you let me know Oh-Oh-Oh-Ooh-Oh Oh-Oh-Oh-Ooh-Oh If you love me Come on, get involved Feel it rushing through you From your head to toe Oh-Oh-Oh-Ooh-Oh Oh-Oh-Oh-Ooh-Oh Sing! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Louder! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh This love is a blaze I saw flames from the side of the stage And the fire brigade comes in a couple of days Until then we got nothing to say and nothing to know But something to drink and maybe something to smoke Let it go until our roads are changed Singing we found love in a local rave No, I don't really know what I'm supposed to say But I can just figure it out and hope and pray I told her my name and said, ""It's nice to meet ya."" Then she handed me a bottle of water filled with tequila. I already know she's a keeper Just from this one small act of kindness, I'm in deep shit if anybody finds out I'm meant to drive home but I've drunk all of it now, not Sobering up we just sit on the couch One thing led to another Now she's kissing my mouth I need you darling Come on set the tone If you feel you're falling Won't you let me know Oh-oh-oh-oh-ooh Oh-oh-oh-oh-ooh If you love me Come on, get involved Feel it rushing through you From your head to toe Oh-oh-oh-oh-ooh Oh-oh-oh-oh-ooh Sing! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Louder! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Sing! Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Can you feel it? All the guys in here don't even wanna dance Can you feel it? All that I can hear is music from the back Can you feel it? Found you hiding here so won't you take my hand darling Before the beat kicks in again Can you feel it? Can you feel it? Sing! (Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh [x7]) I need you darling Come on set the tone If you feel you're falling Won't you let me know Louder! Oh-oh-oh-oh-ooh Oh-oh-oh-oh-ooh Sing! If you love me come on get involved Feel it rushing through you from your head to toe Louder! Oh-oh-oh-oh-ooh Oh-oh-oh-oh-ooh Sing!"
304,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70,"I don't like the way he's looking at you I'm starting to think you want him too Am I crazy? Have I lost ya? Even though I know you love me, can't help it I turn my chin music up And I'm puffing my chest I'm getting ready to face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous 'Cause you're too sexy, beautiful And everybody wants a taste That's why (that's why) I still get jealous 'Cause you're too sexy, beautiful And everybody wants a taste That's why (that's why) I still get jealous I wish you didn't have to post it out I wish you'd save a little bit just for me Protective or possessive, yeah Call it passive or aggressive I turn my chin music up And I'm puffing my chest I'm getting ready to face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous You're too sexy, beautiful And everybody wants a taste That's why (that's why) I still get jealous You're too sexy, beautiful And everybody wants to taste That's why (that's why) I still get jealous You're the only one invited Said there's no one else for you 'Cause you know I get excited, yeah When you get jealous too I turn my chin music up And I'm puffing my chest I'm turning red in the face You can call me obsessed It's not your fault that they hover I mean no disrespect It's my right to be hellish I still get jealous You're too sexy, beautiful And everybody wants a taste That's why (that's why) I still get jealous You're too sexy, beautiful And everybody wants a taste That's why (that's why) I still get jealous Oh (that's why) I still get jealous Oh (that's why) I still get jealous"
305,Really Don't Care,Demi Lovato,dance pop,2015,121,73,71,-4,19,85,202,12,9,70,"You wanna play, you wanna stay, you wanna have it all You started messing with my head until I hit a wall Maybe I should've known, maybe I should've known That you would walk, you would walk out the door, hey! Said we were done, then met someone and rubbed it in my face Cut to the part, she broke your heart, and then she ran away I guess you should've known, I guess you should've known That I would talk, I would talk But even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Oh, oh, oh, I really don't care I can't believe I ever stayed up writing songs about you You don't deserve to know the way I used to think about you Oh no not anymore, oh no not anymore You had your shot, had your shot, but you let go Now if we meet out on the street I won't be running scared I'll walk right up to you and put one finger in the air And make you understand, and make you understand You had your chance, had your chance But even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Oh, oh, oh, I really don't care [Cher Lloyd] Yeah, listen up Hey, hey, never look back, Dumb struck boy, ego intact Look boy, why you so mad Second guessin', but should've hit that Hey, Demi, you picked the wrong lover Should've picked that one, he's cuter than the other I just wanna laugh, 'cause you're tryna be a hipster Kick him to the curb, take a Polaroid picture But even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Even if the stars and moon collide I never want you back into my life You can take your words and all your lies Oh, oh, oh, I really don't care Oh, oh, oh, I really don't care"
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70,"I went to the moped store, said, ""Fuck it."" Salesman's like ""What up, what's your budget?"" And I'm like ""Honestly, I don't know nothing about mopeds."" He said ""I got the one for you, follow me."" Oh it's too real Chromed out mirror, I don't need a windshield Banana seat, a canopy on two wheels Eight hundred cash, that's a hell of a deal I'm headed downtown, cruising through the alley Tip-toeing in the street like Dally Pulled up, moped to the valley Whitewalls on the wheels like mayonnaise Dope, my crew is ill, and all we need is two good wheels Got gas in the tank, cash in the bank And a bad little mama with her ass in my face I'mma lick that, stick that, break her off (Kit-Kat) Snuck her in backstage, you don't need a wristband Dope Killing the game 'bout to catch a body Passed the Harley, Dukie own a Ducati Timbaland, Khaled, Scott Storch, Birdman God damn man, everybody got Bugattis But I'mma keep it hella 1987 Head into the dealership and drop a stack and cop a Kawasaki I'm stunting on everybody, hella raw, pass the wasabi [Clean version:] I'm so low that my cajones almost dragging on the concrete [Explicit version:] I'm so low that my scrotum's almost dragging on the concrete My seat is leather, alright, I'm lying, it's pleather But girl, we could still ride together You don't need an Uber, you don't need a cab Fuck a bus pass, you got a moped man She got 1988 Mariah Carey hair Very rare, mom jeans on her derriere Throwing up the West Side as we tear in the air Stop by Pike Place, throwing fish to a player Downtown, downtown (downtown) Downtown, downtown (downtown) She has her arms around your waist With a balance that could keep us safe (downtown) Have you ever felt the warm embrace (downtown) Of the leather seat between your legs (hey-ey-ey-ey, hey-ey-ey-ey) (hey-ey-ey-ey, hey-ey-ey-ey) (downtown) You don't want no beef, boy Know I run the streets, boy Better follow me towards (downtown) What you see is what you get girl Don't ever forget girl Ain't seen nothing yet until you're Downtown Dope Cut the bullshit Get off my mullet Stone washed, so raw Moped like a bullet (peeyow!) It can't catch me A po-po can't reprimand me I'm in a B-Boy stance, I'm not dancing I got your girl on the back going tandem Because I'm too damn quick, I'm too damn slick Whole downtown yelling out, ""Who that is?"" It's me, the M the A-C the K Stunting like a French pimp from back in the day I take her to Pend Oreille and I watch her skate I mean, water ski, ollie ollie oxen free I'm perusing down fourth and they watching me I do a handstand, an eagle lands on my seat Well hello, but baby, the kickstand ain't free Now do you or do you not wanna ride with me I got one girl, I got two wheels She a big girl but ain't a big deal I like a big girl, I like 'em sassy Going down the backstreet listening to Blackstreet Running around the whole town Neighbors yelling at me like, ""You need to slow down."" Going thirty-eight, Dan, chill the fuck out Mow your damn lawn and sit the hell down If I only had one helmet I would give it to you, give it to you Cruising down Broadway, girl, what a wonderful view, wonderful view There's layers to this shit player, Tiramisu, Tiramisu Let my coat-tail drag but I ain't tearing my suit, tearing my suit Downtown, downtown (downtown) Downtown, downtown She has her arms around your waist With a balance that could keep us safe (downtown) Have you ever felt the warm embrace (downtown) Of the leather seat between your legs (hey-ey-ey-ey, hey-ey-ey-ey) (hey-ey-ey-ey, hey-ey-ey-ey) (downtown) You don't want no beef, boy Know I run the streets, boy Better follow me towards (downtown) What you see is what you get girl Don't ever forget girl Ain't seen nothing yet until you're Downtown You don't want no beef, boy Know I run the streets, boy Better follow me towards (downtown) What you see is what you get girl Don't ever forget girl Ain't seen nothing yet until you're (downtown)"
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69,"I tell myself you don't mean a thing, And what we got, got no hold on me But when you're not there I just crumble I tell myself I don't care that much, But I feel like I die 'til I feel your touch, Only love, only love can hurt like this, Only love can hurt like this Must have been a deadly kiss Only love can hurt like this Say I wouldn't care if you walked away, But every time you're there I'm begging you to stay, And when you come close I just tremble And every time, every time you go, It's like a knife that cuts right to my soul Only love, only love can hurt like this Only love can hurt like this, Must have been a deadly kiss, Only love can hurt like this, Only love can hurt like this Your kisses burn into my skin, Only love can hurt like this But it's the sweetest pain, Burning hot through my veins, Love is torture makes me more sure Only love can hurt like this Only love can hurt like this, Only love can hurt like this, Must have been a deadly kiss, Only love can hurt like this, Only love can hurt like this, Your kisses burn into my skin, Only love can hurt like this, Only love can hurt like this, Only love can hurt like this, Only love can hurt Save me, save me, Only love, only love, 'Cause only love can hurt like this And it must have been a deadly kiss"
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,49,-4,6,48,199,1,5,69,"This is my heartbeat song and I'm gonna play it Been so long I forgot how to turn it up, up, up, up all night long Oh up, up all night long You, where the hell did you come from? You're a different, different kind of fun And I'm so used to feeling numb Now, I've got pins and needles on my tongue Anticipating what's to come Like a finger on a loaded gun I can feel it rising Temperature inside me Haven't felt it for a lifetime This is my heartbeat song and I'm gonna play it Been so long I forgot how to turn it up, up, up, up all night long Oh up, up all night long This is my heartbeat song and I'm gonna play it Turned it on But I know you can take it up, up, up, up all night long Oh up, up all night long (all night long) I, I wasn't even gonna go out But I never would have had a doubt If I'd have known where I'd be now Your hands on my hips And my kiss on your lips Oh, I could do this for a lifetime This is my heartbeat song and I'm gonna play it Been so long I forgot how to turn it up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on But I know you can take it up, up, up, up all night long Oh up, up all night long Until tonight I only dreamed about you I can't believe I ever breathed without you Baby, you make me feel alive and brand new Bring it one more time, one more time This is my heartbeat song and I'm gonna play it Been so long I forgot how to turn it up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on But I know you can take it up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Been so long I forgot how to turn it up, up, up, up all night long Oh, up, up all night long This is my heartbeat song and I'm gonna play it Turned it on But I know you can take it up, up, up, up all night long Oh, up, up all night long"
309,Up,Olly Murs,dance pop,2015,115,85,69,-5,10,64,224,2,3,69,"I drew a broken heart Right on your window pane Waited for your reply Here in the pouring rain Just breathe against the glass Leave me some kind of sign I know the hurt won't pass Yeah Just tell me it's not the end of the line Just tell me it's not the end of the line I never meant to break your heart And I won't let this plane go down I never meant to make you cry I'll do what it takes to make this fly Oh You gotta hold on Hold on to what you're feeling That feeling is the best thing The best thing, alright I'm gonna place my bet on us I know this love is heading in the same direction That's up You drew a question mark But you know what I want I wanna turn the clock Yeah Right back to where it was So, let's build a bridge Yeah From your side to mine I'll be the one to cross over Just tell me it's not the end of the line Just tell me it's not the end of the line I never meant to break your heart And I won't let this plane go down I never meant to make you cry I'll do what it takes to make this fly Oh You gotta hold on Hold on to what you're feeling That feeling is the best thing The best thing, alright I'm gonna place my bet on us I know this love is heading in the same direction That's up Girl, I know we could climb back to where we were then Feel it here in my heart Put my heart in your hand Well, I hope and I pray that you do understand If you did, all you have to say is Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah I'm waiting for you Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah I never meant to break your heart (come on) And I won't let this plane go down (let this plane go down) I never meant to make you cry I'll do what it takes to make this fly Oh You gotta hold on Hold on to what you're feeling That feeling is the best thing The best thing, alright I'm gonna place my bet on us I know this love is heading in the same direction That's up"
310,Trumpets,Jason Derulo,dance pop,2015,82,70,63,-5,10,64,217,56,24,69,"Every time that you get undressed I hear symphonies in my head I wrote this song just looking at you ooh, oh Yeah the drums they swing low And the trumpets they go And the trumpets they go Yeah the trumpets they go Da da, da ra ra da [x6] Oooh-ooh They go Is it weird that I hear Violins whenever you're gone Whenever you're gone Is it weird that your ass Remind me of a Kanye West song? Kanye West song Is it weird that I hear Trumpets when you're turning me on? Turning me on Is it weird that your bra Remind me of a Katy Perry song? Every time that you get undressed I hear symphonies in my head I wrote this song just looking at you ooh, oh Yeah the drums they swing low And the trumpets they go (And they playing for you girl) And the trumpets they go (Ha, yeah) Yeah the trumpets they go [Background:] Da da, da ra ra da [x6] Yeah the trumpets they go (Go, go-go, go-go, go, go-go) And they go (Damn) Is it weird that I hear Angels every time that you moan? Time that you moan Is it weird that your eyes Remind me of a Coldplay song? Coldplay song Is it weird that I hear Trumpets when you're turning me on? Turning me on Is it weird that your bra Remind me of a Katy Perry song? Every time that you get undressed I hear symphonies in my head I wrote this song looking at you ooh, oh Oh, yeah Every time (Every time) that you get undressed (Every time that you get undressed) I hear symphonies in my head (I hear symphonies in my head) I wrote this song (I wrote this song) just looking at you Ooh, oh (Just looking at you girl) Yeah the drums they swing low And the trumpets they go (A capella on 'em) There you go, oh-ooh, yeah Come on, come on, come on There you go"
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69,"These four lonely walls have changed the way I feel The way I feel, I'm standing still And nothing else matters now, you're not here So where are you? I've been callin' you, I'm missin' you Where else can I go? Where else can I go? Chasin' you, chasin' you Memories turn to dust, please don't bury us I got you, I got you Runnin', runnin', runnin', runnin' Runnin', runnin', runnin' Ain't runnin' from myself no more Together we'll win it all I ain't runnin', runnin', runnin', runnin' Runnin', runnin', runnin' Ain't runnin' from myself no more I'm ready to face it all If I lose myself, I lose it all [Arrow Benjamin:] I've outrun the fears that chased, they're standin' still I'm runnin' still, I'm runnin' still And every voice that cried inside my head, forever drives Forever drives, I've killed the lights, oh Where else can I go? And where else can I go? Chasing you, chasing you, oh [Arrow Benjamin and Beyoncé:] Runnin', runnin', runnin', runnin' Runnin', runnin', runnin' Ain't runnin' from myself no more Together we'll win it all I ain't runnin', runnin', runnin', runnin' Runnin', runnin', runnin' Ain't runnin' from myself no more I'm ready to face it all If I lose myself, I lose it all (runnin, runnin, runnin, runnin) If I lose myself, I lose it all (runnin, runnin, runnin, runnin) If I lose myself, I lose it all (runnin, runnin, runnin, runnin) If I lose myself, I lose it all (runnin, runnin, runnin, runnin)"
